,Weeks on Chart,spotify_track_explicit,spotify_track_duration_ms,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Debut Position,LyricPositive,LyricNeutral,LyricNegative,TweetPositive,TweetNeutral,TweetNegative,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 0,Classification
0,56,FALSE,263400,88,0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,3,37,47,52,0,2,96,0,0.338805079,0,0,0,0.422253907,0.172767878,0.057949819,0,0,0,0
1,52,TRUE,201660,89,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11E-06,0.0936,0.533,136.041,4,18,1,98,0,14,82,3,0,0.819212556,0,0,0,0.165686563,0,0,0,0,0
2,52,FALSE,211466,86,0.358,0.557,10,-7.398,1,0.059,0.695,0,0.0902,0.494,85.043,4,100,12,87,0,11,88,0,0.280972481,0,0,0,0.126180246,0,0.309619874,0,0.273385376,0,2
3,52,TRUE,312820,88,0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,4,4,13,77,9,6,92,0,0.33667317,0.308320135,0,0,0,0,0,0,0.350175112,0,0
4,52,FALSE,190946,87,0.579,0.904,5,-2.729,1,0.0618,0.193,0,0.064,0.681,82.014,4,98,7,90,1,7,89,2,0.736584663,0,0,0,0,0.254216313,0,0,0,0,1
5,52,FALSE,214289,90,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,4,63,11,88,0,6,93,0,0.245760575,0,0,0,0,0,0.737905979,0,0,0,1
6,52,FALSE,244960,86,0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,4,9,0,98,1,0,14,85,0.072326191,0,0,0,0.335226238,0,0.557059348,0,0.02900105,0,0
7,52,FALSE,208373,81,0.532,0.869,11,-5.094,1,0.172,0.157,0.00508,0.136,0.422,159.803,4,85,9,90,0,38,61,0,0,0,0,0,0,0,0,0.939974248,0,0,1
8,52,FALSE,229525,82,0.689,0.481,10,-7.503,1,0.0815,0.369,1.03E-06,0.0649,0.283,80.025,4,100,6,93,0,0,100,0,0.244157404,0,0,0.740450561,0,0,0,0,0,0,0
9,52,TRUE,231266,88,0.68,0.563,10,-5.843,1,0.0454,0.354,0,0.136,0.374,145.028,4,7,16,79,3,6,92,1,0.010689445,0,0.847574234,0,0.13359043,0,0,0,0,0,1
10,52,FALSE,202333,84,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29E-05,0.0602,0.648,169.977,4,87,17,82,0,1,97,0,0,0,0,0,0,0.079937764,0,0,0.913333774,0,1
11,52,TRUE,235545,75,0.851,0.541,0,-6.825,1,0.0505,0.568,0,0.13,0.448,124.959,4,94,38,61,0,75,25,0,0,0,0,0.611807704,0,0,0.365325391,0,0,0,0
12,52,TRUE,222093,75,0.746,0.873,7,-3.803,1,0.128,0.0244,0,0.354,0.817,148.075,4,86,2,94,2,2,96,0,0,0.059844743,0,0,0,0,0,0,0.933751643,0,1
13,52,FALSE,206880,75,0.746,0.754,1,-6.681,1,0.067,0.0152,0,0.0486,0.764,149.882,4,89,3,86,9,20,78,1,0,0,0,0,0,0.789036095,0.199364632,0,0,0,1
14,51,FALSE,187146,87,0.605,0.822,0,-4.833,1,0.0438,0.00671,0.134,0.147,0.288,167.997,4,70,1,96,1,6,90,2,0,0,0.060423274,0,0,0,0,0.934093952,0,0,1
15,51,FALSE,185142,69,0.821,0.759,8,-8.541,1,0.121,0.247,0,0.321,0.962,140.01,4,98,0,100,0,1,97,0,0,0.993179977,0,0,0,0,0,0,0,0,1
16,51,FALSE,163870,82,0.643,0.783,10,-6.458,1,0.0856,0.047,0,0.083,0.579,154.084,4,61,1,94,3,2,97,0,0,0,0.261497408,0,0,0,0,0,0,0.724702537,1
17,51,FALSE,204346,89,0.776,0.78,10,-4.374,0,0.128,0.0622,0,0.081,0.666,124.949,4,43,8,59,32,6,89,3,0,0.09099713,0,0.217209682,0,0.665046513,0.020861233,0,0,0,1
18,51,FALSE,206693,83,0.853,0.56,1,-4.961,1,0.0406,0.013,0,0.0944,0.86,134.066,4,79,22,75,1,27,72,0,0,0.327947944,0,0,0.486471474,0,0.076745018,0.100608975,0,0,0
19,51,TRUE,253390,85,0.816,0.726,5,-3.998,0,0.129,0.099,0,0.372,0.65,136.048,4,8,27,65,6,0,15,83,0,0.171169445,0,0.44925651,0,0,0,0,0.372122973,0,0
20,51,FALSE,201707,81,0.708,0.648,6,-5.626,1,0.0449,0.0956,0,0.134,0.338,143.955,4,43,12,81,6,5,93,0,0,0,0,0.664738894,0.20800449,0,0.069467679,0,0,0.048554026,2
21,51,FALSE,228826,76,0.653,0.816,2,-4.353,1,0.167,0.228,0,0.0967,0.816,178.086,4,88,13,78,7,18,81,0,0,0.947036028,0,0,0,0,0,0,0,0,0
22,50,FALSE,196746,77,0.489,0.581,11,-5.731,1,0.0281,0.0312,0,0.132,0.494,86.016,4,84,2,90,7,11,86,1,0,0.984992385,0,0,0,0,0,0,0,0,3
23,50,TRUE,220293,85,0.63,0.804,6,-4.183,1,0.0363,0.215,0,0.253,0.492,123.146,4,83,9,81,9,0,100,0,0.099865727,0.417037666,0,0,0,0,0,0,0.475721806,0,2
24,48,FALSE,229320,81,0.596,0.552,0,-10.278,0,0.097,0.0765,0.334,0.104,0.112,97.949,4,45,15,76,7,17,76,5,0.019700678,0.109062105,0,0,0.535301208,0.32229197,0,0,0,0,2
25,48,TRUE,239835,94,0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,4,74,11,80,8,15,78,5,0.326868027,0,0,0,0,0,0.367210209,0,0.298052311,0,2
26,48,FALSE,176561,74,0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007,4,100,2,97,0,0,100,0,0.588451147,0,0,0.091451667,0,0,0,0,0.310372055,0,1
27,48,FALSE,203417,85,0.596,0.854,7,-5.114,0,0.463,0.0169,0,0.124,0.152,120.274,4,96,1,87,10,4,94,0,0,0.183485836,0,0,0,0,0,0,0.802222908,0,2
28,48,TRUE,242253,84,0.58,0.565,0,-7.065,0,0.0488,0.0671,0,0.135,0.138,112.986,4,20,13,67,18,2,97,0,0.373025894,0,0,0.612930894,0,0,0,0,0,0,0
29,47,FALSE,209320,84,0.762,0.7,9,-6.021,0,0.0694,0.00261,1.56E-05,0.153,0.608,116.073,4,90,6,86,7,24,73,1,0.303243816,0,0.683512866,0,0,0,0,0,0,0,2
30,46,TRUE,219146,81,0.774,0.765,4,-5.439,0,0.0502,0.156,0,0.0373,0.917,119.001,4,79,11,77,11,6,92,0,0,0,0,0,0.739655674,0.187692165,0,0,0.065431073,0,2
31,45,FALSE,171029,89,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97E-06,0.222,0.347,102.998,4,33,3,93,3,3,95,1,0.985242546,0,0,0,0,0,0,0,0,0,2
32,45,FALSE,217306,86,0.765,0.523,2,-4.333,1,0.03,0.184,3.56E-05,0.132,0.394,104.988,4,99,1,97,1,0,100,0,0,0.30470857,0,0,0.55041647,0,0,0,0.132140547,0,0
33,45,TRUE,191600,80,0.699,0.325,7,-8.112,0,0.228,0.0947,0,0.086,0.273,110.786,4,91,7,65,26,6,92,1,0.970951855,0,0,0,0,0,0,0,0,0,2
34,45,FALSE,215733,89,0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799,4,28,5,88,5,3,88,7,0,0,0,0,0,0,0,0,0,0.971863091,0
35,45,FALSE,216339,38,0.451,0.876,7,-5.378,1,0.0362,0.0227,0.0999,0.104,0.353,139.908,4,97,0,100,0,0,95,4,0.28340596,0,0,0,0,0.685810268,0,0,0,0,2
36,44,TRUE,149546,89,0.829,0.539,11,-7.359,0,0.208,0.136,1.78E-06,0.103,0.388,99.96,4,47,6,89,4,11,83,4,0,0.315417737,0,0,0,0.258477747,0.224463642,0,0.194318265,0,1
37,44,FALSE,163253,82,0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,4,89,6,91,2,4,95,0,0.156576201,0.484912872,0.340554684,0,0,0,0,0,0,0,1
38,44,TRUE,326933,83,0.743,0.347,1,-11.174,1,0.121,0.167,0.00951,0.103,0.572,160.143,4,75,0,90,9,2,97,0,0,0.980427802,0,0,0,0,0,0,0,0,2
39,43,FALSE,230226,74,0.573,0.739,0,-5.74,1,0.129,0.0285,0,0.111,0.451,97.085,4,95,27,68,4,2,97,0,0.129812986,0,0,0,0,0,0.522308469,0.339629441,0,0,2
40,43,FALSE,197573,83,0.901,0.4,0,-8.575,1,0.126,0.051,0,0.0599,0.346,135.984,4,44,0,100,0,13,82,4,0,0,0,0,0,0,0,0.980420887,0,0,1
41,43,FALSE,274693,81,0.486,0.632,5,-6.89,1,0.0344,0.682,0,0.0869,0.0791,147.892,4,53,8,91,0,22,75,1,0,0.696910262,0,0,0,0.281460613,0,0,0,0,3
42,43,TRUE,277680,72,0.647,0.291,2,-8.275,0,0.0363,0.408,0,0.0771,0.4,119.839,3,49,23,68,7,0,99,0,0,0.102571838,0.40616563,0,0.113845915,0.366883516,0,0,0,0,1
43,43,FALSE,219080,84,0.736,0.449,1,-11.462,0,0.425,0.33,0.000162,0.0898,0.326,80.126,4,77,4,95,0,6,92,1,0.594038308,0,0,0,0,0,0,0,0.38690567,0,3
44,42,FALSE,157066,91,0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,4,83,0,97,2,9,90,0,0.394487143,0,0,0,0,0,0,0,0.204300791,0.39234516,0
45,42,TRUE,235493,81,0.748,0.788,1,-7.055,1,0.0334,0.0591,0,0.0863,0.884,120.076,4,8,33,58,7,9,89,0,0.692893445,0,0,0,0,0,0.291096807,0,0,0,1
