,Weeks on Chart,spotify_track_explicit,spotify_track_duration_ms,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Debut Position,LyricPositive,LyricNeutral,LyricNegative,pop,uk pop,dance pop,electropop,etherpop,indie poptimism,post-teen pop,talent show,rap,baroque pop,emo,modern rock,brostep,progressive electro house,tropical house,hip hop,pittsburgh rap,pop rap,southern hip hop,trap,dfw rap,melodic rap,rock,pop rock,new jersey rap,canadian pop,viral pop,pinoy hip hop,alternative r&b,latin,latin pop,puerto rican pop,tropical,contemporary country,chicago rap,edm,electro house,moombahton,boy band,canadian contemporary r&b,barbadian pop,r&b,urban contemporary,complextro,electro,indie pop,indie rock,atl hip hop,ccm,christian music,worship,country rap,lgbtq+ hip hop,country pop,viral trap,german techno,conscious hip hop,west coast rap,hip pop,miami hip hop,emo rap,philly rap,deep pop r&b,girl group,danish pop,scandipop,canadian hip hop,toronto rap,modern alternative rock,stomp pop,uk contemporary r&b,atl trap,nc hip hop,neo mellow,metropopolis,electronic trap,escape room,minnesota hip hop,trap queen,house,progressive house,uk dance,australian pop,swedish electropop,swedish pop,swedish synthpop,australian dance,latin hip hop,reggaeton,country,country road,modern country rock,indie pop rap,portland hip hop,underground hip hop,vapor trap,detroit hip hop,british soul,uk funky,deep talent show,pop punk,indietronica,reggae fusion,virgin islands reggae,dirty south rap,baton rouge rap,australian electropop,australian indie,downtempo,san diego rap,cali rap,social media pop,florida rap,country dawn,pop edm,permanent wave,oklahoma country,big room,folk-pop,neo-singer-songwriter,australian country,new orleans rap,gangster rap,memphis hip hop,dmv rap,texas country,heartland rock,ghanaian hip hop,modern southern rock,neo-traditional country,queens hip hop,nyc rap,arkansas country,houston rap,detroit trap,redneck,bronx hip hop,east coast hip hop,hardcore hip hop,la indie,alternative metal,nu metal,post-grunge,rap metal,outlaw country,disney,hollywood,movie tunes,show tunes,neo soul,drill,trance,hawaiian hip hop,trap soul,aussietronica,metal,idol,indie r&b,liquid funk,alabama rap,modern folk rock,stomp and holler,uk americana,deep euro house,deep house,german dance,alternative rock,g funk,country rock,adult standards,american folk revival,brill building pop,easy listening,mellow gold,dance rock,new wave pop,piano rock,nyc pop,a cappella,bachata,indie electropop,la pop,rap conscient,colombian pop,mexican pop,art pop,nz pop,k-pop,k-pop boy group,europop,icelandic indie,icelandic rock,hyphy,alberta country,canadian contemporary country,canadian country,australian hip hop,lounge,rap latina,destroy techno,classic girl group,motown,pixie,acoustic pop,indiecoustica,lds youth,alternative dance,dance-punk,neo-synthpop,new rave,israeli pop,bmore,ninja,indie folk,new americana,hopebeat,latin viral pop,alternative hip hop,modern uplift,christian alternative rock,christian indie,candy pop,indie soul,uk alternative pop,teen pop,punk,socal pop punk,cowboy western,traditional country,yodeling,funk metal,funk rock,old school hip hop,singer-songwriter,vocal jazz,boston hip hop,jazz rap,vapor pop,groove metal,canadian folk,canadian singer-songwriter,folk,folk rock,melancholia,irish rock,irish singer-songwriter,album rock,art rock,classic rock,glam rock,protopunk,rock-and-roll,rockabilly,shiver pop,nu-metalcore,lilith,soft rock,nu gaze,chinese hip hop,chinese idol pop,k-hop,post-metal,progressive metal,progressive rock,anthem worship,world worship,pop emo,TweetPositive,TweetNeutral,TweetNegative,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 0,Classification
0,56.0,False,263400.0,88.0,0.599,0.44799999999999995,8.0,-6.312,1.0,0.0232,0.163,0.0,0.106,0.168,95.05,3.0,37.0,47,52,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,96,0,0.33880507946014404,0.0,0.0,0.0,0.42225390672683716,0.17276787757873535,0.057949818670749664,0.0,0.0,0.0,0
1,52.0,True,201660.0,89.0,0.752,0.488,6.0,-7.05,1.0,0.0705,0.297,9.11e-06,0.0936,0.5329999999999999,136.041,4.0,18.0,1,98,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,82,3,0.0,0.8192125558853149,0.0,0.0,0.0,0.16568656265735626,0.0,0.0,0.0,0.0,0
2,52.0,False,211466.0,86.0,0.358,0.557,10.0,-7.398,1.0,0.059000000000000004,0.695,0.0,0.0902,0.494,85.04299999999999,4.0,100.0,12,87,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,88,0,0.2809724807739258,0.0,0.0,0.0,0.1261802464723587,0.0,0.30961987376213074,0.0,0.2733853757381439,0.0,2
3,52.0,True,312820.0,88.0,0.8340000000000001,0.73,8.0,-3.714,1.0,0.222,0.00513,0.0,0.124,0.446,155.00799999999998,4.0,4.0,13,77,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,92,0,0.33667317032814026,0.30832013487815857,0.0,0.0,0.0,0.0,0.0,0.0,0.3501751124858856,0.0,0
4,52.0,False,190946.0,87.0,0.579,0.904,5.0,-2.7289999999999996,1.0,0.0618,0.193,0.0,0.064,0.6809999999999999,82.014,4.0,98.0,7,90,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,89,2,0.7365846633911133,0.0,0.0,0.0,0.0,0.2542163133621216,0.0,0.0,0.0,0.0,1
5,52.0,False,214289.0,90.0,0.687,0.792,5.0,-2.7489999999999997,1.0,0.0452,0.191,0.0,0.16699999999999998,0.6709999999999999,100.015,4.0,63.0,11,88,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,93,0,0.24576057493686676,0.0,0.0,0.0,0.0,0.0,0.7379059791564941,0.0,0.0,0.0,1
6,52.0,False,244960.0,86.0,0.748,0.524,8.0,-5.599,1.0,0.0338,0.414,0.0,0.111,0.6609999999999999,95.01,4.0,9.0,0,98,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,85,0.0723261907696724,0.0,0.0,0.0,0.33522623777389526,0.0,0.5570593476295471,0.0,0.02900104969739914,0.0,0
7,52.0,False,208373.0,81.0,0.532,0.8690000000000001,11.0,-5.093999999999999,1.0,0.172,0.157,0.0050799999999999994,0.136,0.42200000000000004,159.803,4.0,85.0,9,90,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,61,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9399742484092712,0.0,0.0,1
8,52.0,False,229525.0,82.0,0.6890000000000001,0.48100000000000004,10.0,-7.502999999999999,1.0,0.0815,0.369,1.03e-06,0.0649,0.28300000000000003,80.025,4.0,100.0,6,93,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.24415740370750427,0.0,0.0,0.7404505610466003,0.0,0.0,0.0,0.0,0.0,0.0,0
9,52.0,True,231266.0,88.0,0.68,0.563,10.0,-5.843,1.0,0.0454,0.354,0.0,0.136,0.374,145.028,4.0,7.0,16,79,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,92,1,0.010689444839954376,0.0,0.8475742340087891,0.0,0.133590430021286,0.0,0.0,0.0,0.0,0.0,1
